​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ 2 43 202
​ 3 45 200
​ 4 45 200
​ 5 45 199
​ 6 45 199
​ 7 45 199
​ 8 45 199
​ 9 46 198
​ 10 46 195
​ 11 46 194
​ 12 46 194
​ 13 45 194
​ 14 47 192
​ 15 47 190
​ 16 47 190
​ 17 47 190
​ 18 47 188
​ 19 48 187
​ 20 48 187
​ 21 48 186
​ 22 48 186
​ 23 49 185
​ 24 50 185
​ 25 50 186
​ 26 51 182
​ 27 51 182
​ 28 51 182
​ 29 51 182
​ 30 51 182
​ 31 51 182
​ 32 51 181
​ 33 51 181
​ 34 51 180
​ 35 51 181
​ 36 51 181
​ 37 51 181
​ 38 52 181
​ 39 52 181
​ 40 52 181
​ 41 52 181
​ 42 52 181
​ 43 52 181
​ 44 52 181
​ 45 52 181
​ 46 53 180
​ 47 53 180
​ 48 54 176
​ 49 54 176
​ 50 54 176
​ 51 54 175
​ 52 54 174
​ 53 54 174
​ 54 54 174
​ 55 54 174
​ 56 54 173
​ 57 54 172
​ 58 54 172
​ 59 54 172
​ 60 54 171
​ 61 54 169
​ 62 54 169
​ 63 54 169
​ 64 55 168
​ 65 55 168
​ 66 55 168
​ 67 55 168
​ 68 55 168
​ 69 55 168
​ 70 55 168
​ 71 56 168
​ 72 57 167
​ 73 57 167
​ 74 57 167
​ 75 57 167
​ 76 57 167
​ 77 58 167
​ 78 58 167
​ 79 58 167
​ 80 58 167
​ 81 58 167
​ 82 58 167
​ 83 58 167
​ 84 58 166
​ 85 58 166
​ 86 58 166
​ 87 58 165
​ 88 58 166
​ 89 58 166
​ 90 58 166
​ 91 58 166
​ 92 58 166
​ 93 58 164
​ 94 58 163
​ 95 58 163
​ 96 58 163
​ 97 58 164
​ 98 58 163
​ 99 58 163
​ 100 61 160
​ 101 61 160
​ 102 61 160
​ 103 61 161
​ 104 61 160
​ 105 61 160
​ 106 61 159
​ 107 62 158
​ 108 63 157
​ 109 63 157
​ 110 63 157
​ 111 63 157
​ 112 63 157
​ 113 63 157
​ 114 63 156
​ 115 64 154
​ 116 64 154
​ 117 64 154
​ 118 64 154
​ 119 64 154
​ 120 64 152
​ 121 64 152
​ 122 64 151
​ 123 64 150
​ 124 64 150
​ 125 64 150
​ 126 64 150
​ 127 64 150
​ 128 64 150
​ 129 64 149
​ 130 64 149
​ 131 64 149
​ 132 64 149
​ 133 64 149
​ 134 64 149
​ 135 64 149
​ 136 64 150
​ 137 64 150
​ 138 64 149
​ 139 64 149
​ 140 64 149
​ 141 64 148
​ 142 64 148
​ 143 64 149
​ 144 65 148
​ 145 66 147
​ 146 66 146
​ 147 66 146
​ 148 66 146
​ 149 66 146
​ 150 66 146
​ 151 67 145
​ 152 67 145
​ 153 67 145
​ 154 67 144
​ 155 66 144
​ 156 67 143
​ 157 67 143
​ 158 67 142
​ 159 67 142
​ 160 67 142
​ 161 67 143
​ 162 67 143
​ 163 67 143
​ 164 67 142
​ 165 68 139
​ 166 68 139
​ 167 68 139
​ 168 68 139
​ 169 68 138
​ 170 68 138
​ 171 68 139
​ 172 68 139
​ 173 68 139
​ 174 69 137
​ 175 69 136
​ 176 70 135
​ 177 71 134
​ 178 72 133
​ 179 73 132
​ 180 73 132
​ 181 73 131
​ 182 73 131
​ 183 74 130
​ 184 74 130
​ 185 73 130
​ 186 74 129
​ 187 74 129
​ 188 74 129
​ 189 74 129
​ 190 74 129
​ 191 74 129
​ 192 74 129
​ 193 74 129
​ 194 75 128
​ 195 75 127
​ 196 75 126
​ 197 75 126
​ 198 77 124
​ 199 77 124
​ 200 77 124
​ 201 77 124
​ 202 77 124
​ 203 77 124
​ 204 77 124
​ 205 77 124
​ 206 77 124
​ 207 77 124
​ 208 77 123
​ 209 77 123
​ 210 77 123
​ 211 77 124
​ 212 77 124
​ 213 76 124
​ 214 77 123
​ 215 77 123
​ 216 77 123
​ 217 77 122
​ 218 77 122
​ 219 77 121
​ 220 77 121
​ 221 77 121
​ 222 77 121
​ 223 77 121
​ 224 77 121
​ 225 77 121
​ 226 77 121
​ 227 77 121
​ 228 77 121
​ 229 77 121
​ 230 78 119
​ 231 78 118
​ 232 78 118
​ 233 78 118
​ 234 78 118
​ 235 78 118
​ 236 78 118
​ 237 78 116
​ 238 79 115
​ 239 79 115
​ 240 79 116
​ 241 79 116
​ 242 79 116
​ 243 79 116
​ 244 79 116
​ 245 79 116
​ 246 80 116
​ 247 80 116
​ 248 80 116
​ 249 80 116
​ 250 79 116
​ 251 80 115
​ 252 80 115
​ 253 80 115
​ 254 79 115
​ 255 81 113
​ 256 81 113
​ 257 81 113
​ 258 81 113
​ 259 81 112
​ 260 81 112
​ 261 81 112
​ 262 82 111
​ 263 82 111
​ 264 82 111
​ 265 82 111
​ 266 82 110
​ 267 82 110
​ 268 82 110
​ 269 83 109
​ 270 83 109
​ 271 83 109
​ 272 83 109
​ 273 83 108
​ 274 83 107
​ 275 84 106
​ 276 84 106
​ 277 84 106
​ 278 85 105
​ 279 85 105
​ 280 85 105
​ 281 85 105
​ 282 85 105
​ 283 86 104
​ 284 86 103
​ 285 86 103
​ 286 87 101
​ 287 87 101
​ 288 88 100
​ 289 88 100
​ 290 88 100
​ 291 88 100
​ 292 88 100
​ 293 88 100
​ 294 88 99
​ 295 88 99
​ 296 88 99
​ 297 88 99
​ 298 88 99
​ 299 88 99
​ 300 88 99
​ 301 88 99
​ 302 88 99
​ 303 88 99
​ 304 88 99
​ 305 88 99
​ 306 88 99
​ 307 89 98
​ 308 89 97
​ 309 89 97
​ 310 89 97
​ 311 90 97
​ 312 90 97
​ 313 90 97
​ 314 88 97
​ 315 90 95
​ 316 90 95
​ 317 90 95
​ 318 90 95
​ 319 90 95
​ 320 90 95
​ 321 90 95
​ 322 90 95
​ 323 90 96
​ 324 90 96
​ 325 91 95
​ 326 91 95
​ 327 91 94
​ 328 91 94
​ 329 91 94
​ 330 90 94
​ 331 92 92
​ 332 92 92
​ 333 92 92
​ 334 92 92
​ 335 92 92
​ 336 92 92
​ 337 92 92
​ 338 92 92
​ 339 92 92
​ 340 92 92
​ 341 92 92
​ 342 92 92
​ 343 92 92
​ 344 92 92
​ 345 93 90
​ 346 94 89
​ 347 94 89
​ 348 94 89
​ 349 94 88
​ 350 93 88
​ 351 94 87
​ 352 95 86
​ 353 95 86
​ 354 95 86
​ 355 96 85
