​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ 2 39 210
​ 3 39 210
​ 4 39 210
​ 5 39 207
​ 6 41 205
​ 7 41 205
​ 8 41 204
​ 9 41 204
​ 10 42 202
​ 11 42 202
​ 12 42 201
​ 13 42 199
​ 14 42 199
​ 15 42 199
​ 16 42 199
​ 17 42 199
​ 18 42 199
​ 19 42 199
​ 20 42 198
​ 21 43 197
​ 22 43 197
​ 23 43 197
​ 24 43 196
​ 25 43 197
​ 26 43 197
​ 27 43 197
​ 28 43 198
​ 29 43 197
​ 30 43 196
​ 31 44 195
​ 32 44 195
​ 33 44 195
​ 34 44 195
​ 35 44 195
​ 36 44 195
​ 37 44 195
​ 38 43 195
​ 39 44 194
​ 40 44 194
​ 41 44 194
​ 42 44 193
​ 43 46 191
​ 44 46 192
​ 45 46 190
​ 46 47 188
​ 47 47 190
​ 48 47 189
​ 49 47 189
​ 50 47 189
​ 51 47 189
​ 52 47 189
​ 53 46 189
​ 54 47 188
​ 55 46 188
​ 56 47 186
​ 57 47 185
​ 58 48 184
​ 59 48 184
​ 60 48 184
​ 61 48 184
​ 62 48 184
​ 63 48 184
​ 64 48 184
​ 65 48 184
​ 66 48 183
​ 67 48 183
​ 68 48 183
​ 69 49 182
​ 70 49 182
​ 71 49 182
​ 72 49 182
​ 73 50 179
​ 74 50 180
​ 75 50 180
​ 76 50 180
​ 77 49 180
​ 78 50 179
​ 79 50 178
​ 80 50 178
​ 81 50 178
​ 82 49 178
​ 83 50 177
​ 84 50 177
​ 85 50 176
​ 86 51 175
​ 87 51 175
​ 88 51 176
​ 89 51 176
​ 90 51 176
​ 91 51 176
​ 92 50 176
​ 93 51 175
​ 94 52 174
​ 95 52 173
​ 96 52 173
​ 97 52 174
​ 98 52 174
​ 99 52 174
​ 100 52 174
​ 101 52 174
​ 102 52 173
​ 103 52 172
​ 104 52 171
​ 105 52 171
​ 106 52 170
​ 107 52 170
​ 108 52 170
​ 109 52 170
​ 110 52 170
​ 111 52 170
​ 112 52 170
​ 113 52 170
​ 114 52 170
​ 115 52 170
​ 116 52 170
​ 117 52 170
​ 118 52 170
​ 119 52 170
​ 120 52 170
​ 121 52 170
​ 122 52 171
​ 123 52 172
​ 124 52 174
​ 125 52 174
​ 126 53 173
​ 127 52 173
​ 128 53 172
​ 129 53 171
​ 130 53 171
​ 131 53 171
​ 132 53 171
​ 133 53 171
​ 134 53 171
​ 135 53 171
​ 136 53 171
​ 137 53 171
​ 138 53 171
​ 139 53 171
​ 140 53 171
​ 141 53 171
​ 142 54 170
​ 143 54 170
​ 144 54 170
​ 145 54 169
​ 146 54 169
​ 147 55 165
​ 148 55 166
​ 149 56 165
​ 150 56 165
​ 151 56 165
​ 152 56 165
​ 153 56 165
​ 154 56 165
​ 155 56 165
​ 156 56 165
​ 157 56 165
​ 158 56 165
​ 159 56 165
​ 160 57 164
​ 161 57 164
​ 162 57 163
​ 163 57 163
​ 164 57 162
​ 165 57 162
​ 166 57 161
​ 167 57 162
​ 168 57 161
​ 169 57 161
​ 170 58 160
​ 171 58 160
​ 172 58 159
​ 173 58 158
​ 174 58 158
​ 175 58 157
​ 176 58 157
​ 177 58 155
​ 178 59 153
​ 179 59 153
​ 180 59 153
​ 181 59 154
​ 182 59 153
​ 183 59 153
​ 184 59 153
​ 185 59 154
​ 186 59 154
​ 187 59 154
​ 188 59 154
​ 189 59 155
​ 190 59 155
​ 191 59 155
​ 192 59 155
​ 193 60 153
​ 194 60 152
​ 195 60 152
​ 196 60 154
​ 197 59 154
​ 198 59 153
​ 199 60 151
​ 200 61 150
​ 201 61 150
​ 202 61 149
​ 203 61 147
​ 204 61 147
​ 205 61 147
​ 206 61 147
​ 207 62 146
​ 208 62 146
​ 209 62 146
​ 210 63 145
​ 211 63 145
​ 212 63 145
​ 213 63 145
​ 214 63 145
​ 215 63 145
​ 216 63 145
​ 217 63 145
​ 218 62 145
​ 219 63 143
​ 220 64 141
​ 221 64 141
​ 222 64 141
​ 223 64 141
​ 224 64 141
​ 225 64 142
​ 226 64 142
​ 227 64 141
​ 228 64 141
​ 229 64 141
​ 230 64 141
​ 231 64 141
​ 232 64 141
​ 233 64 141
​ 234 64 139
​ 235 66 137
​ 236 66 136
​ 237 66 135
​ 238 65 133
​ 239 67 131
​ 240 67 131
​ 241 67 131
​ 242 67 131
​ 243 67 131
​ 244 68 131
​ 245 68 132
​ 246 68 132
​ 247 68 132
​ 248 68 132
​ 249 68 132
​ 250 68 131
​ 251 68 130
​ 252 68 130
​ 253 68 130
​ 254 69 129
​ 255 70 128
​ 256 70 128
​ 257 70 128
​ 258 70 128
​ 259 70 128
​ 260 70 129
​ 261 70 129
​ 262 71 127
​ 263 71 127
​ 264 71 127
​ 265 71 126
​ 266 72 125
​ 267 72 125
​ 268 73 123
​ 269 73 123
​ 270 73 123
​ 271 73 121
​ 272 73 121
​ 273 74 121
​ 274 74 120
​ 275 74 121
​ 276 74 120
​ 277 75 119
​ 278 75 119
​ 279 75 119
​ 280 75 119
​ 281 75 119
​ 282 75 119
​ 283 75 119
​ 284 75 119
​ 285 75 119
​ 286 75 119
​ 287 75 119
​ 288 76 117
​ 289 76 117
​ 290 77 116
​ 291 78 116
​ 292 78 116
​ 293 78 115
​ 294 79 114
​ 295 79 113
​ 296 79 113
​ 297 79 113
​ 298 79 113
​ 299 81 111
​ 300 81 111
​ 301 81 111
​ 302 81 111
​ 303 81 111
​ 304 82 110
​ 305 82 109
​ 306 82 109
​ 307 82 109
​ 308 82 108
​ 309 82 108
​ 310 82 108
​ 311 82 108
