​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 338 88 86
​ 339 88 86
​ 340 88 86
​ 341 88 85
​ 342 88 85
​ 343 87 85
​ 344 88 84
​ 345 88 83
​ 346 88 83
​ 347 88 83
​ 348 88 83
​ 349 86 83
​ 350 88 80
​ 351 88 79
​ 352 88 79
​ 353 88 79
​ 354 88 79
​ 355 88 79
​ 356 88 79
​ 357 89 78
​ 358 89 77
​ 359 89 77
​ 360 89 77
​ 361 89 77
​ 362 89 77
​ 363 89 78
​ 364 89 78
​ 365 89 78
​ 366 89 78
​ 367 89 78
​ 368 89 78
​ 369 89 78
​ 370 89 77
​ 371 90 76
​ 372 91 75
​ 373 91 74
​ 374 91 74
​ 375 91 73
​ 376 91 72
​ 377 91 72
​ 378 91 72
​ 379 91 72
​ 380 91 72
​ 381 91 72
​ 382 91 72
​ 383 92 71
​ 384 92 70
​ 385 92 70
​ 386 92 70
​ 387 92 70
​ 388 92 70
​ 389 92 70
​ 390 92 70
​ 391 92 70
​ 392 92 70
​ 393 93 69
​ 394 93 70
​ 395 93 70
​ 396 93 70
​ 397 93 70
​ 398 93 70
​ 399 93 70
​ 400 93 70
​ 401 93 70
​ 402 93 69
​ 403 92 69
​ 404 93 68
​ 405 93 68
​ 406 93 68
​ 407 93 68
​ 408 93 68
​ 409 93 68
​ 410 94 66
​ 411 94 66
​ 412 94 66
​ 413 94 66
​ 414 92 66
​ 415 94 64
​ 416 94 63
​ 417 95 62
​ 418 95 62
​ 419 95 62
​ 420 95 62
​ 421 95 62
​ 422 95 62
​ 423 96 61
​ 424 95 61
​ 425 96 60
​ 426 96 60
​ 427 96 60
​ 428 96 60
​ 429 96 60
​ 430 96 60
​ 431 96 60
​ 432 96 60
​ 433 96 59
​ 434 96 59
​ 435 96 59
​ 436 96 58
​ 437 96 58
​ 438 97 57
​ 439 97 57
​ 440 97 57
​ 441 97 57
​ 442 97 57
​ 443 97 57
​ 444 97 57
​ 445 97 57
​ 446 96 57
​ 447 97 56
​ 448 98 55
​ 449 98 55
​ 450 98 55
​ 451 98 54
​ 452 98 54
​ 453 98 54
​ 454 98 54
​ 455 98 54
​ 456 98 54
​ 457 98 54
​ 458 98 54
​ 459 98 54
​ 460 98 53
​ 461 97 53
​ 462 98 52
​ 463 98 53
​ 464 98 53
​ 465 99 52
​ 466 99 52
​ 467 99 52
​ 468 99 52
​ 469 99 52
​ 470 99 52
​ 471 99 52
​ 472 100 50
​ 473 100 50
​ 474 99 49
​ 475 100 48
​ 476 100 48
​ 477 100 48
​ 478 100 48
​ 479 100 48
​ 480 100 48
​ 481 100 48
​ 482 100 48
​ 483 100 48
​ 484 100 48
​ 485 100 48
​ 486 100 48
​ 487 100 48
​ 488 100 48
​ 489 100 47
​ 490 100 47
​ 491 100 47
​ 492 100 47
​ 493 100 47
​ 494 100 47
​ 495 100 47
​ 496 100 47
​ 497 100 47
​ 498 99 47
​ 499 100 46
​ 500 100 46
​ 501 100 46
​ 502 100 46
​ 503 100 46
​ 504 100 45
​ 505 100 45
​ 506 100 44
​ 507 100 44
​ 508 100 44
​ 509 100 44
​ 510 100 44
​ 511 100 44
​ 512 100 44
​ 513 101 43
​ 514 101 43
​ 515 101 43
​ 516 101 43
​ 517 101 43
​ 518 101 43
​ 519 101 43
​ 520 101 43
​ 521 101 43
​ 522 101 43
​ 523 101 43
​ 524 101 43
​ 525 100 43
​ 526 101 42
​ 527 101 41
​ 528 101 41
​ 529 101 41
​ 530 101 41
​ 531 101 41
​ 532 101 41
​ 533 101 41
​ 534 100 40
​ 535 101 39
