​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
[Violation] Forced reflow while executing JavaScript took 45ms
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 330 82 194
​ 331 82 194
​ 332 82 194
​ 333 83 193
​ 334 83 193
​ 335 84 192
​ 336 84 193
​ 337 83 193
​ 338 84 191
​ 339 84 190
​ 340 84 189
​ 341 84 189
​ 342 84 189
​ 343 84 189
​ 344 84 190
​ 345 84 189
​ 346 84 189
​ 347 84 189
​ 348 84 189
​ 349 84 189
​ 350 83 190
​ 351 84 189
​ 352 84 189
​ 353 85 188
​ 354 85 189
​ 355 85 190
​ 356 85 192
​ 357 85 193
​ 358 85 193
​ 359 85 193
​ 360 85 193
​ 361 86 192
​ 362 86 192
​ 363 85 189
​ 364 86 188
​ 365 86 188
​ 366 86 190
​ 367 87 190
​ 368 87 191
​ 369 87 190
​ 370 87 189
​ 371 87 188
​ 372 87 188
​ 373 87 188
​ 374 87 187
​ 375 86 188
​ 376 87 188
​ 377 87 188
​ 378 87 188
​ 379 88 187
​ 380 89 186
​ 381 89 185
​ 382 90 183
​ 383 90 183
​ 384 90 183
​ 385 90 184
​ 386 91 184
​ 387 92 182
​ 388 92 182
​ 389 92 182
​ 390 92 182
​ 391 92 182
​ 392 92 181
​ 393 92 180
​ 394 93 179
​ 395 93 178
​ 396 94 177
​ 397 94 176
​ 398 94 175
​ 399 95 174
​ 400 95 172
​ 401 95 172
​ 402 95 172
​ 403 96 171
​ 404 96 170
​ 405 96 170
​ 406 98 168
​ 407 99 166
​ 408 98 167
​ 409 99 167
​ 410 99 168
​ 411 98 168
​ 412 99 170
​ 413 100 170
​ 414 100 169
​ 415 100 169
​ 416 100 169
​ 417 100 168
​ 418 100 168
​ 419 100 167
​ 420 100 167
​ 421 100 167
​ 422 100 167
​ 423 100 165
​ 424 100 165
​ 425 100 164
​ 426 100 163
​ 427 101 162
​ 428 100 162
​ 429 101 162
​ 430 101 163
​ 431 101 163
​ 432 102 162
​ 433 102 163
​ 434 102 163
​ 435 102 163
​ 436 102 163
​ 437 102 164
​ 438 102 164
​ 439 102 164
​ 440 102 164
​ 441 102 165
​ 442 102 168
​ 443 103 167
​ 444 103 166
​ 445 103 166
​ 446 103 166
​ 447 103 166
​ 448 103 166
​ 449 103 166
​ 450 103 165
​ 451 103 165
​ 452 103 165
​ 453 103 165
​ 454 103 165
​ 455 103 165
​ 456 103 166
​ 457 104 165
​ 458 104 165
​ 459 104 165
​ 460 104 165
​ 461 104 165
​ 462 104 165
​ 463 105 165
​ 464 106 164
​ 465 106 164
​ 466 107 163
​ 467 107 164
​ 468 106 164
​ 469 107 164
​ 470 106 164
​ 471 107 161
​ 472 107 161
​ 473 107 161
​ 474 107 161
​ 475 107 163
​ 476 109 159
​ 477 109 159
​ 478 109 159
​ 479 110 158
​ 480 110 157
​ 481 109 157
​ 482 112 155
​ 483 112 155
​ 484 112 156
​ 485 112 157
​ 486 112 156
​ 487 113 155
​ 488 113 155
​ 489 113 154
​ 490 113 154
​ 491 114 152
​ 492 114 152
​ 493 114 151
​ 494 114 152
​ 495 114 150
​ 496 117 147
​ 497 117 147
​ 498 121 143
​ 499 122 141
​ 500 124 139
​ 501 124 139
​ 502 125 138
​ 503 126 137
​ 504 126 137
​ 505 126 136
​ 506 126 135
​ 507 126 136
​ 508 126 137
​ 509 127 135
​ 510 127 133
​ 511 127 132
​ 512 127 132
​ 513 128 131
​ 514 128 131
​ 515 128 130
​ 516 129 129
​ 517 129 128
​ 518 130 126
​ 519 130 127
​ 520 130 126
​ 521 130 127
​ 522 131 124
​ 523 131 124
​ 524 131 122
​ 525 132 120
​ 526 132 120
​ 527 131 119
​ 528 131 117
​ 529 132 116
​ 530 132 116
​ 531 132 115
​ 532 132 114
​ 533 133 111
​ 534 134 111
​ 535 135 110
​ 536 136 109
​ 537 136 108
​ 538 136 108
​ 539 137 105
​ 540 137 104
​ 541 137 104
​ 542 138 103
​ 543 138 102
​ 544 138 102
​ 545 138 102
​ 546 138 102
​ 547 139 101
​ 548 139 100
​ 549 139 100
​ 550 139 100
​ 551 140 99
​ 552 135 98
​ 553 129 98
​ 554 128 96
​ 555 127 98
​ 556 127 99
​ 557 127 99
​ 558 128 96
​ 559 128 96
​ 560 128 96
​ 561 130 95
​ 562 130 95
​ 563 130 95
​ 564 129 95
​ 565 129 93
​ 566 129 93
​ 567 129 93
​ 568 129 93
​ 569 129 95
​ 570 129 94
​ 571 129 94
​ 572 129 94
​ 573 129 97
​ 574 130 97
​ 575 130 98
​ 576 130 98
​ 577 130 98
​ 578 131 97
​ 579 131 97
​ 580 131 98
​ 581 131 98
​ 582 131 98
​ 583 131 98
​ 584 132 97
​ 585 132 97
​ 586 132 98
​ 587 132 99
​ 588 132 98
​ 589 132 98
​ 590 132 98
​ 591 132 98
​ 592 132 98
​ 593 132 98
​ 594 132 97
​ 595 132 98
​ 596 132 98
​ 597 132 98
​ 598 132 97
​ 599 132 96
​ 600 132 96
​ 601 132 95
​ 602 132 94
​ 603 131 96
​ 604 132 96
​ 605 132 96
​ 606 132 97
​ 607 132 97
​ 608 130 97
​ 609 133 93
​ 610 133 93
​ 611 133 93
​ 612 133 93
​ 613 133 93
​ 614 134 92
​ 615 135 92
​ 616 135 91
​ 617 135 91
​ 618 136 90
​ 619 136 89
​ 620 136 89
​ 621 137 88
​ 622 138 87
​ 623 138 88
​ 624 138 86
​ 625 138 86
​ 626 138 87
​ 627 138 91
​ 628 139 89
​ 629 139 93
​ 630 139 94
​ 631 140 94
​ 632 140 96
​ 633 140 96
​ 634 140 96
​ 635 140 95
​ 636 138 96
​ 637 139 95
​ 638 139 95
​ 639 139 95
​ 640 139 95
​ 641 139 95
​ 642 138 95
​ 643 139 94
​ 644 139 97
​ 645 139 97
​ 646 139 98
​ 647 140 98
​ 648 140 98
​ 649 140 99
​ 650 141 98
​ 651 141 98
​ 652 142 98
​ 653 142 99
​ 654 144 97
​ 655 144 97
​ 656 145 95
​ 657 146 94
​ 658 148 94
​ 659 149 94
​ 660 149 92
​ 661 150 89
​ 662 150 89
​ 663 150 90
​ 664 150 89
​ 665 150 91
​ 666 150 91
​ 667 150 93
​ 668 150 93
​ 669 151 92
​ 670 150 92
​ 671 150 92
​ 672 150 92
​ 673 150 94
​ 674 149 94
​ 675 148 94
​ 676 150 92
​ 677 150 93
​ 678 150 92
​ 679 150 94
​ 680 151 93
​ 681 151 93
​ 682 151 93
​ 683 151 93
​ 684 151 92
​ 685 150 93
​ 686 150 94
​ 687 152 92
​ 688 152 92
​ 689 153 90
​ 690 153 91
​ 691 153 89
​ 692 155 86
​ 693 156 83
​ 694 156 84
​ 695 157 83
​ 696 157 82
​ 697 158 81
​ 698 158 84
​ 699 159 82
​ 700 160 84
​ 701 160 83
​ 702 159 85
​ 703 159 85
​ 704 159 84
​ 705 159 85
​ 706 159 84
​ 707 159 84
​ 708 159 85
​ 709 159 83
​ 710 160 82
​ 711 161 82
​ 712 161 82
​ 713 162 81
​ 714 161 82
​ 715 163 79
​ 716 162 78
​ 717 164 76
​ 718 164 74
​ 719 165 73
​ 720 164 72
​ 721 165 71
​ 722 163 72
​ 723 165 71
​ 724 165 69
​ 725 165 69
​ 726 166 67
​ 727 167 65
​ 728 167 65
​ 729 167 65
​ 730 167 65
​ 731 167 66
​ 732 166 65
​ 733 167 64
​ 734 166 64
​ 735 166 63
​ 736 166 64
​ 737 166 64
​ 738 166 64
​ 739 167 62
​ 740 168 61
​ 741 168 61
​ 742 168 60
​ 743 168 60
​ 744 168 60
​ 745 168 59
​ 746 168 58
​ 747 167 58
​ 748 168 56
​ 749 166 57
​ 750 167 58
​ 751 169 57
​ 752 169 56
​ 753 169 57
​ 754 169 56
​ 755 170 54
​ 756 170 54
​ 757 170 54
​ 758 170 55
​ 759 169 58
​ 760 169 58
​ 761 170 57
​ 762 170 57
​ 763 171 56
​ 764 172 55
​ 765 173 54
​ 766 173 55
​ 767 173 55
​ 768 172 55
​ 769 173 55
​ 770 173 55
​ 771 173 53
​ 772 173 53
​ 773 173 53
​ 774 173 53
​ 775 174 51
​ 776 175 50
​ 777 176 49
​ 778 177 47
​ 779 177 46
​ 780 177 45
​ 781 177 45
​ 782 177 45
​ 783 177 45
​ 784 177 45
​ 785 176 45
​ 786 176 44
​ 787 176 45
​ 788 176 45
​ 789 175 44
​ 790 175 43
​ 791 175 43
​ 792 175 43
​ 793 175 43
​ 794 175 42
​ 795 175 43
​ 796 175 43
​ 797 175 43
​ 798 175 45
​ 799 175 45
​ 800 175 46
​ 801 175 46
​ 802 176 45
​ 803 176 45
​ 804 177 43
​ 805 178 42
​ 806 178 43
​ 807 178 43
​ 808 178 44
​ 809 178 44
​ 810 178 44
​ 811 177 44
​ 812 177 45
​ 813 177 45
​ 814 177 44
​ 815 177 44
​ 816 177 44
​ 817 177 44
​ 818 177 43
​ 819 178 42
​ 820 178 41
​ 821 178 41
​ 822 178 41
​ 823 177 41
​ 824 177 41
​ 825 177 42
​ 826 177 43
​ 827 177 43
​ 828 177 43
​ 829 177 43
​ 830 177 42
​ 831 175 42
​ 832 176 40
​ 833 174 40
​ 834 174 40
​ 835 174 40
​ 836 174 41
​ 837 174 42
​ 838 174 43
​ 839 174 42
​ 840 174 41
​ 841 174 40
​ 842 174 40
​ 843 174 40
​ 844 173 41
​ 845 173 42
​ 846 173 41
​ 847 174 40
​ 848 175 39
​ 849 176 38
​ 850 175 39
​ 851 174 40
​ 852 172 41
​ 853 172 41
​ 854 173 40
​ 855 173 40
​ 856 173 40
​ 857 173 40
​ 858 173 41
​ 859 173 41
​ 860 174 41
​ 861 175 40
​ 862 175 40
​ 863 176 39
​ 864 176 39
​ 865 175 42
​ 866 174 43
​ 867 174 42
​ 868 174 44
