p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 NONE 0.15 550 0.35 0.95 250
p5.js:58331 [Violation] 'load' handler took 182ms
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
build.js:110 2 39 217
build.js:110 3 39 217
build.js:110 4 39 219
build.js:110 5 40 217
build.js:110 6 40 218
build.js:110 7 40 219
build.js:110 8 40 219
build.js:110 9 40 219
build.js:110 10 40 220
build.js:110 11 40 220
build.js:110 12 40 221
build.js:110 13 40 221
build.js:110 14 40 221
build.js:110 15 40 221
build.js:110 16 40 223
build.js:110 17 40 225
build.js:110 18 40 225
build.js:110 19 40 225
build.js:110 20 40 225
build.js:110 21 40 226
build.js:110 22 40 227
build.js:110 23 40 228
build.js:110 24 40 229
build.js:110 25 40 229
build.js:110 26 40 229
build.js:110 27 40 229
build.js:110 28 40 231
build.js:110 29 40 231
build.js:110 30 40 231
build.js:110 31 40 236
build.js:110 32 40 239
build.js:110 33 40 241
build.js:110 34 40 242
build.js:110 35 40 241
build.js:110 36 40 241
build.js:110 37 40 242
build.js:110 38 40 242
build.js:110 39 40 242
build.js:110 40 41 241
build.js:110 41 41 244
build.js:110 42 41 244
build.js:110 43 41 244
build.js:110 44 41 244
build.js:110 45 41 244
build.js:110 46 41 244
build.js:110 47 41 244
build.js:110 48 41 244
build.js:110 49 41 245
build.js:110 50 41 245
build.js:110 51 41 245
build.js:110 52 41 245
build.js:110 53 40 246
build.js:110 54 41 245
build.js:110 55 41 245
build.js:110 56 41 245
build.js:110 57 41 244
build.js:110 58 41 245
build.js:110 59 41 245
build.js:110 60 41 246
build.js:110 61 41 247
build.js:110 62 41 247
build.js:110 63 41 247
build.js:110 64 41 247
build.js:110 65 41 248
build.js:110 66 41 248
build.js:110 67 41 248
build.js:110 68 41 248
build.js:110 69 41 247
build.js:110 70 41 247
build.js:110 71 41 246
build.js:110 72 41 246
build.js:110 73 41 246
build.js:110 74 41 247
build.js:110 75 41 248
build.js:110 76 41 248
build.js:110 77 41 248
build.js:110 78 42 247
build.js:110 79 42 246
build.js:110 80 42 247
build.js:110 81 42 247
build.js:110 82 42 247
build.js:110 83 42 247
build.js:110 84 42 247
build.js:110 85 42 248
build.js:110 86 42 248
build.js:110 87 43 247
build.js:110 88 43 247
build.js:110 89 43 248
build.js:110 90 43 249
build.js:110 91 43 250
build.js:110 92 43 250
build.js:110 93 43 250
build.js:110 94 44 251
build.js:110 95 44 250
build.js:110 96 44 249
build.js:110 97 44 249
build.js:110 98 44 249
build.js:110 99 44 249
build.js:110 100 44 249
build.js:110 101 44 250
build.js:110 102 44 250
build.js:110 103 44 250
build.js:110 104 44 250
build.js:110 105 44 250
build.js:110 106 44 250
build.js:110 107 44 250
build.js:110 108 44 251
build.js:110 109 44 251
build.js:110 110 45 250
build.js:110 111 45 250
build.js:110 112 45 250
build.js:110 113 45 250
build.js:110 114 45 251
build.js:110 115 45 251
build.js:110 116 45 251
build.js:110 117 45 251
build.js:110 118 45 251
build.js:110 119 45 250
build.js:110 120 45 251
build.js:110 121 45 251
build.js:110 122 45 250
build.js:110 123 45 250
build.js:110 124 45 250
build.js:110 125 45 249
build.js:110 126 45 249
build.js:110 127 45 249
build.js:110 128 45 248
build.js:110 129 45 247
build.js:110 130 47 245
build.js:110 131 48 246
build.js:110 132 48 245
build.js:110 133 48 245
build.js:110 134 48 245
build.js:110 135 48 245
build.js:110 136 48 245
build.js:110 137 48 245
build.js:110 138 48 245
build.js:110 139 48 245
build.js:110 140 48 245
build.js:110 141 48 245
build.js:110 142 48 245
build.js:110 143 49 245
build.js:110 144 49 245
build.js:110 145 49 245
build.js:110 146 49 245
build.js:110 147 49 245
build.js:110 148 50 243
build.js:110 149 50 243
build.js:110 150 50 243
build.js:110 151 50 242
build.js:110 152 51 241
build.js:110 153 51 241
build.js:110 154 52 239
build.js:110 155 52 239
build.js:110 156 52 238
build.js:110 157 52 238
build.js:110 158 52 238
build.js:110 159 52 237
build.js:110 160 52 237
build.js:110 161 52 237
build.js:110 162 52 237
build.js:110 163 52 236
build.js:110 164 52 236
build.js:110 165 52 235
build.js:110 166 53 234
build.js:110 167 53 234
build.js:110 168 53 236
build.js:110 169 53 236
build.js:110 170 53 236
build.js:110 171 53 236
build.js:110 172 54 236
build.js:110 173 55 235
build.js:110 174 55 232
build.js:110 175 55 233
build.js:110 176 55 233
build.js:110 177 55 234
build.js:110 178 55 234
build.js:110 179 55 235
build.js:110 180 55 235
build.js:110 181 55 236
build.js:110 182 55 235
build.js:110 183 55 234
build.js:110 184 55 235
build.js:110 185 55 232
build.js:110 186 55 232
build.js:110 187 55 232
build.js:110 188 55 232
build.js:110 189 55 232
build.js:110 190 55 232
build.js:110 191 55 232
build.js:110 192 55 232
build.js:110 193 55 232
build.js:110 194 55 232
build.js:110 195 55 232
build.js:110 196 55 232
build.js:110 197 56 230
build.js:110 198 56 230
build.js:110 199 56 231
build.js:110 200 56 231
build.js:110 201 56 231
build.js:110 202 56 231
build.js:110 203 56 231
build.js:110 204 56 231
build.js:110 205 56 230
