p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 CONST:0.3 0.15 550 0.35 0.95 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
build.js:110 2 43 222
build.js:110 3 43 223
build.js:110 4 44 221
build.js:110 5 44 221
build.js:110 6 44 224
build.js:110 7 44 224
build.js:110 8 45 222
build.js:110 9 45 222
build.js:110 10 45 222
build.js:110 11 45 222
build.js:110 12 46 222
build.js:110 13 46 226
build.js:110 14 46 226
build.js:110 15 46 227
build.js:110 16 46 227
build.js:110 17 46 227
build.js:110 18 46 227
build.js:110 19 46 228
build.js:110 20 46 228
build.js:110 21 46 228
build.js:110 22 46 228
build.js:110 23 46 229
build.js:110 24 46 230
build.js:110 25 46 230
build.js:110 26 46 231
build.js:110 27 46 232
build.js:110 28 46 234
build.js:110 29 46 234
build.js:110 30 46 234
build.js:110 31 46 235
build.js:110 32 46 235
build.js:110 33 46 235
build.js:110 34 46 235
build.js:110 35 46 234
build.js:110 36 45 236
build.js:110 37 46 235
build.js:110 38 46 235
build.js:110 39 46 234
build.js:110 40 46 234
build.js:110 41 46 233
build.js:110 42 46 233
build.js:110 43 46 233
build.js:110 44 46 233
build.js:110 45 46 234
build.js:110 46 46 234
build.js:110 47 46 235
build.js:110 48 46 235
build.js:110 49 46 236
build.js:110 50 46 236
build.js:110 51 46 236
build.js:110 52 46 236
build.js:110 53 46 237
build.js:110 54 46 237
build.js:110 55 46 238
build.js:110 56 46 238
build.js:110 57 46 239
build.js:110 58 46 239
build.js:110 59 46 239
build.js:110 60 45 239
build.js:110 61 46 238
build.js:110 62 46 238
build.js:110 63 47 237
build.js:110 64 47 237
build.js:110 65 48 237
build.js:110 66 48 237
build.js:110 67 48 238
build.js:110 68 48 239
build.js:110 69 49 238
build.js:110 70 49 238
build.js:110 71 49 237
build.js:110 72 50 235
build.js:110 73 50 236
build.js:110 74 50 236
build.js:110 75 50 236
build.js:110 76 50 237
build.js:110 77 50 237
build.js:110 78 50 238
build.js:110 79 50 237
build.js:110 80 50 239
build.js:110 81 50 239
build.js:110 82 49 239
build.js:110 83 50 238
build.js:110 84 50 238
build.js:110 85 50 237
build.js:110 86 50 236
build.js:110 87 51 235
build.js:110 88 51 235
build.js:110 89 51 235
build.js:110 90 51 237
build.js:110 91 51 236
build.js:110 92 52 235
build.js:110 93 52 236
build.js:110 94 52 236
build.js:110 95 52 236
build.js:110 96 52 236
build.js:110 97 52 236
build.js:110 98 52 236
build.js:110 99 52 236
build.js:110 100 52 236
build.js:110 101 52 236
build.js:110 102 52 236
build.js:110 103 52 236
build.js:110 104 52 236
build.js:110 105 52 236
build.js:110 106 52 236
build.js:110 107 52 236
build.js:110 108 52 237
build.js:110 109 52 238
build.js:110 110 52 238
build.js:110 111 52 238
build.js:110 112 52 238
build.js:110 113 52 238
build.js:110 114 52 238
build.js:110 115 53 239
build.js:110 116 53 238
build.js:110 117 53 238
build.js:110 118 53 238
build.js:110 119 53 238
build.js:110 120 55 237
build.js:110 121 55 238
build.js:110 122 55 238
build.js:110 123 54 239
build.js:110 124 55 238
build.js:110 125 55 239
build.js:110 126 55 238
build.js:110 127 55 238
build.js:110 128 55 238
build.js:110 129 55 239
build.js:110 130 55 239
build.js:110 131 55 240
build.js:110 132 55 239
build.js:110 133 56 237
build.js:110 134 56 237
build.js:110 135 56 237
build.js:110 136 57 235
build.js:110 137 58 234
build.js:110 138 58 234
build.js:110 139 58 235
build.js:110 140 58 235
build.js:110 141 58 235
build.js:110 142 58 235
build.js:110 143 58 235
build.js:110 144 58 235
build.js:110 145 58 235
build.js:110 146 58 236
build.js:110 147 58 236
build.js:110 148 58 236
build.js:110 149 58 235
build.js:110 150 58 235
build.js:110 151 58 235
build.js:110 152 60 233
build.js:110 153 61 231
build.js:110 154 61 231
build.js:110 155 61 231
build.js:110 156 61 229
build.js:110 157 61 227
build.js:110 158 61 228
build.js:110 159 62 228
build.js:110 160 62 228
build.js:110 161 63 225
build.js:110 162 63 224
build.js:110 163 63 224
build.js:110 164 63 223
build.js:110 165 64 223
build.js:110 166 65 222
build.js:110 167 66 220
build.js:110 168 67 219
build.js:110 169 67 220
build.js:110 170 67 219
build.js:110 171 67 220
build.js:110 172 67 221
build.js:110 173 67 221
build.js:110 174 67 222
build.js:110 175 67 222
build.js:110 176 68 221
build.js:110 177 69 220
build.js:110 178 69 220
build.js:110 179 69 219
build.js:110 180 69 219
build.js:110 181 69 219
build.js:110 182 70 218
build.js:110 183 70 218
build.js:110 184 69 219
build.js:110 185 70 219
build.js:110 186 70 220
build.js:110 187 70 219
build.js:110 188 69 219
build.js:110 189 71 217
build.js:110 190 71 216
build.js:110 191 73 215
build.js:110 192 73 216
build.js:110 193 73 215
build.js:110 194 73 215
build.js:110 195 73 215
build.js:110 196 73 214
build.js:110 197 74 212
build.js:110 198 74 212
build.js:110 199 74 212
build.js:110 200 74 212
build.js:110 201 74 213
build.js:110 202 76 211
build.js:110 203 76 212
build.js:110 204 78 209
build.js:110 205 79 206
build.js:110 206 79 207
build.js:110 207 80 206
build.js:110 208 81 210
build.js:110 209 81 209
build.js:110 210 81 209
build.js:110 211 81 208
build.js:110 212 82 207
build.js:110 213 83 206
build.js:110 214 83 206
build.js:110 215 83 208
build.js:110 216 83 207
build.js:110 217 83 208
build.js:110 218 83 208
build.js:110 219 83 210
build.js:110 220 83 212
build.js:110 221 83 212
build.js:110 222 83 212
build.js:110 223 83 212
build.js:110 224 83 212
build.js:110 225 84 210
build.js:110 226 83 212
build.js:110 227 84 211
build.js:110 228 84 212
build.js:110 229 84 212
build.js:110 230 84 212
build.js:110 231 85 211
