​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ NONE 0.15 550 0.35 0.95 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
build.js:110 307 100 192
build.js:110 308 100 192
build.js:110 309 101 191
build.js:110 310 101 191
build.js:110 311 101 191
build.js:110 312 104 187
build.js:110 313 104 187
build.js:110 314 103 185
build.js:110 315 104 185
build.js:110 316 104 187
build.js:110 317 104 187
build.js:110 318 104 187
build.js:110 319 105 185
build.js:110 320 106 185
build.js:110 321 106 185
build.js:110 322 106 185
build.js:110 323 106 186
build.js:110 324 106 187
build.js:110 325 106 185
build.js:110 326 107 184
build.js:110 327 107 183
build.js:110 328 107 183
build.js:110 329 107 183
build.js:110 330 107 183
build.js:110 331 107 183
build.js:110 332 108 183
build.js:110 333 108 183
build.js:110 334 109 183
build.js:110 335 108 184
build.js:110 336 109 183
build.js:110 337 109 183
build.js:110 338 109 183
build.js:110 339 109 183
build.js:110 340 109 183
build.js:110 341 110 181
build.js:110 342 109 181
build.js:110 343 111 178
build.js:110 344 112 178
build.js:110 345 112 178
build.js:110 346 112 177
build.js:110 347 112 177
build.js:110 348 112 178
build.js:110 349 112 181
build.js:110 350 112 180
build.js:110 351 112 181
build.js:110 352 112 180
build.js:110 353 112 178
build.js:110 354 112 178
build.js:110 355 116 174
build.js:110 356 116 175
build.js:110 357 118 173
build.js:110 358 120 171
build.js:110 359 121 171
build.js:110 360 121 170
build.js:110 361 121 170
build.js:110 362 121 170
build.js:110 363 121 172
build.js:110 364 121 172
build.js:110 365 120 168
build.js:110 366 120 167
build.js:110 367 120 166
build.js:110 368 121 165
build.js:110 369 121 165
build.js:110 370 121 166
build.js:110 371 121 166
build.js:110 372 121 166
build.js:110 373 121 165
build.js:110 374 121 162
build.js:110 375 121 162
build.js:110 376 120 162
build.js:110 377 121 159
build.js:110 378 121 159
build.js:110 379 121 160
build.js:110 380 122 160
build.js:110 381 123 159
build.js:110 382 125 157
build.js:110 383 125 156
build.js:110 384 125 157
build.js:110 385 126 156
build.js:110 386 126 155
build.js:110 387 126 155
build.js:110 388 126 154
build.js:110 389 128 153
build.js:110 390 128 151
build.js:110 391 129 151
build.js:110 392 129 153
build.js:110 393 129 153
build.js:110 394 129 153
build.js:110 395 129 152
build.js:110 396 129 151
build.js:110 397 130 149
build.js:110 398 130 149
build.js:110 399 130 148
build.js:110 400 130 150
build.js:110 401 130 150
build.js:110 402 130 149
build.js:110 403 131 149
build.js:110 404 132 147
build.js:110 405 132 147
build.js:110 406 132 147
build.js:110 407 132 148
build.js:110 408 134 147
build.js:110 409 135 146
build.js:110 410 135 146
build.js:110 411 136 143
build.js:110 412 136 142
build.js:110 413 136 143
build.js:110 414 136 142
build.js:110 415 137 140
build.js:110 416 137 140
build.js:110 417 137 141
build.js:110 418 138 140
build.js:110 419 139 139
build.js:110 420 140 137
build.js:110 421 140 138
build.js:110 422 140 138
build.js:110 423 140 137
build.js:110 424 140 139
build.js:110 425 140 140
build.js:110 426 140 139
build.js:110 427 140 140
build.js:110 428 140 139
build.js:110 429 140 138
build.js:110 430 140 137
build.js:110 431 140 138
build.js:110 432 140 138
build.js:110 433 140 138
build.js:110 434 140 138
build.js:110 435 140 138
build.js:110 436 140 137
build.js:110 437 140 137
build.js:110 438 141 136
build.js:110 439 141 135
build.js:110 440 141 135
build.js:110 441 141 134
build.js:110 442 143 131
build.js:110 443 143 131
build.js:110 444 143 130
build.js:110 445 143 129
build.js:110 446 143 129
build.js:110 447 143 128
build.js:110 448 144 127
build.js:110 449 145 126
build.js:110 450 146 129
build.js:110 451 147 127
build.js:110 452 149 123
build.js:110 453 150 122
build.js:110 454 150 122
build.js:110 455 151 122
build.js:110 456 151 123
build.js:110 457 151 123
build.js:110 458 150 126
build.js:110 459 153 123
build.js:110 460 153 123
build.js:110 461 152 123
build.js:110 462 153 122
build.js:110 463 153 122
build.js:110 464 153 122
build.js:110 465 154 120
build.js:110 466 155 118
build.js:110 467 155 117
build.js:110 468 155 117
build.js:110 469 156 115
build.js:110 470 157 114
build.js:110 471 157 113
build.js:110 472 159 112
build.js:110 473 159 114
build.js:110 474 160 112
build.js:110 475 160 112
build.js:110 476 160 112
build.js:110 477 160 113
build.js:110 478 160 113
build.js:110 479 160 112
build.js:110 480 161 109
build.js:110 481 163 107
build.js:110 482 162 108
build.js:110 483 164 107
build.js:110 484 166 106
build.js:110 485 166 108
build.js:110 486 166 108
build.js:110 487 166 108
build.js:110 488 167 107
build.js:110 489 169 105
build.js:110 490 169 107
build.js:110 491 168 108
build.js:110 492 169 106
build.js:110 493 169 107
build.js:110 494 169 106
build.js:110 495 173 102
build.js:110 496 174 101
build.js:110 497 173 101
build.js:110 498 175 99
build.js:110 499 175 98
build.js:110 500 175 98
build.js:110 501 176 96
build.js:110 502 177 94
build.js:110 503 177 94
build.js:110 504 177 93
build.js:110 505 177 93
build.js:110 506 178 94
build.js:110 507 178 95
build.js:110 508 178 95
build.js:110 509 179 94
build.js:110 510 180 92
build.js:110 511 181 91
build.js:110 512 181 90
build.js:110 513 183 87
build.js:110 514 183 87
build.js:110 515 183 86
build.js:110 516 185 83
build.js:110 517 185 81
build.js:110 518 187 79
build.js:110 519 187 79
build.js:110 520 187 78
build.js:110 521 187 78
build.js:110 522 187 77
build.js:110 523 187 77
build.js:110 524 188 77
build.js:110 525 188 75
build.js:110 526 189 73
build.js:110 527 190 72
build.js:110 528 191 71
build.js:110 529 191 71
build.js:110 530 192 71
build.js:110 531 193 70
build.js:110 532 193 70
build.js:110 533 193 69
build.js:110 534 193 69
build.js:110 535 193 69
build.js:110 536 193 70
build.js:110 537 193 70
build.js:110 538 193 70
build.js:110 539 193 69
build.js:110 540 194 67
build.js:110 541 194 67
build.js:110 542 194 67
build.js:110 543 194 67
build.js:110 544 194 67
build.js:110 545 194 66
build.js:110 546 194 66
build.js:110 547 194 67
build.js:110 548 194 67
build.js:110 549 194 66
build.js:110 550 195 65
build.js:110 551 195 64
build.js:110 552 191 64
build.js:110 553 188 63
build.js:110 554 187 64
build.js:110 555 186 66
build.js:110 556 186 67
build.js:110 557 186 67
build.js:110 558 186 67
build.js:110 559 186 66
build.js:110 560 186 66
build.js:110 561 188 64
build.js:110 562 187 63
build.js:110 563 187 63
build.js:110 564 187 63
build.js:110 565 187 62
