p5.js:59193 p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
build.js:55 NONE 0.15 550 0.35 0.95 250
insert-link-icons.js:181 [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ insert-link-icons.js:181
main_content_script @ insert-link-icons.js:195
(anonymous) @ insert-link-icons.js:27
build.js:110 1 0 0
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
[Violation] 'requestAnimationFrame' handler took <N>ms
build.js:110 2 30 233
build.js:110 3 30 235
build.js:110 4 30 239
build.js:110 5 30 240
build.js:110 6 30 240
build.js:110 7 30 239
build.js:110 8 30 241
build.js:110 9 30 240
build.js:110 10 30 240
build.js:110 11 30 240
build.js:110 12 30 240
build.js:110 13 30 240
build.js:110 14 30 241
build.js:110 15 31 241
build.js:110 16 31 241
build.js:110 17 31 241
build.js:110 18 31 241
build.js:110 19 33 239
build.js:110 20 33 241
build.js:110 21 33 240
build.js:110 22 33 241
build.js:110 23 33 242
build.js:110 24 33 243
build.js:110 25 33 245
build.js:110 26 33 246
build.js:110 27 33 246
build.js:110 28 33 246
build.js:110 29 33 247
build.js:110 30 33 249
build.js:110 31 33 249
build.js:110 32 33 251
build.js:110 33 33 251
build.js:110 34 33 251
build.js:110 35 33 250
build.js:110 36 33 251
build.js:110 37 33 252
build.js:110 38 33 253
build.js:110 39 33 253
build.js:110 40 33 253
build.js:110 41 33 254
build.js:110 42 33 255
build.js:110 43 33 255
build.js:110 44 33 254
build.js:110 45 33 253
build.js:110 46 33 253
build.js:110 47 33 254
build.js:110 48 33 254
build.js:110 49 33 255
build.js:110 50 33 255
build.js:110 51 34 254
build.js:110 52 34 254
build.js:110 53 34 254
build.js:110 54 34 254
build.js:110 55 34 254
build.js:110 56 34 254
build.js:110 57 34 254
build.js:110 58 34 254
build.js:110 59 34 254
build.js:110 60 34 254
build.js:110 61 34 254
build.js:110 62 34 254
build.js:110 63 34 254
build.js:110 64 34 255
build.js:110 65 35 254
build.js:110 66 35 254
build.js:110 67 35 254
build.js:110 68 35 254
build.js:110 69 35 254
build.js:110 70 35 253
build.js:110 71 35 253
build.js:110 72 35 253
build.js:110 73 35 253
build.js:110 74 35 253
build.js:110 75 35 253
build.js:110 76 35 252
build.js:110 77 35 252
build.js:110 78 35 252
build.js:110 79 35 252
build.js:110 80 34 253
build.js:110 81 35 252
build.js:110 82 35 252
build.js:110 83 35 252
build.js:110 84 35 251
build.js:110 85 35 252
build.js:110 86 35 252
build.js:110 87 35 252
build.js:110 88 35 252
build.js:110 89 35 252
build.js:110 90 35 252
build.js:110 91 35 252
build.js:110 92 36 251
build.js:110 93 36 251
build.js:110 94 36 251
build.js:110 95 36 251
build.js:110 96 36 251
build.js:110 97 36 251
build.js:110 98 35 251
build.js:110 99 36 250
build.js:110 100 36 250
build.js:110 101 36 250
build.js:110 102 36 250
build.js:110 103 36 251
build.js:110 104 36 251
build.js:110 105 36 251
build.js:110 106 36 252
build.js:110 107 36 252
build.js:110 108 36 253
build.js:110 109 36 253
build.js:110 110 36 254
build.js:110 111 36 253
build.js:110 112 36 254
build.js:110 113 36 254
build.js:110 114 36 255
build.js:110 115 36 254
build.js:110 116 36 256
build.js:110 117 36 256
build.js:110 118 36 256
build.js:110 119 36 256
build.js:110 120 35 260
build.js:110 121 36 259
build.js:110 122 36 259
build.js:110 123 36 259
build.js:110 124 36 259
build.js:110 125 36 259
build.js:110 126 36 260
build.js:110 127 36 260
build.js:110 128 36 261
build.js:110 129 36 261
build.js:110 130 36 261
build.js:110 131 36 261
build.js:110 132 37 260
build.js:110 133 37 259
build.js:110 134 37 260
build.js:110 135 37 260
build.js:110 136 37 260
build.js:110 137 37 260
build.js:110 138 37 260
build.js:110 139 37 261
build.js:110 140 37 261
build.js:110 141 37 261
build.js:110 142 37 261
build.js:110 143 37 261
build.js:110 144 37 261
build.js:110 145 37 261
build.js:110 146 37 262
build.js:110 147 37 262
build.js:110 148 37 262
build.js:110 149 38 261
build.js:110 150 38 261
build.js:110 151 38 261
build.js:110 152 38 261
build.js:110 153 38 261
build.js:110 154 38 261
build.js:110 155 38 260
build.js:110 156 38 260
build.js:110 157 38 260
build.js:110 158 38 260
build.js:110 159 38 260
build.js:110 160 38 260
build.js:110 161 38 260
build.js:110 162 38 260
build.js:110 163 38 260
build.js:110 164 38 260
build.js:110 165 38 260
build.js:110 166 39 259
build.js:110 167 39 260
build.js:110 168 39 260
build.js:110 169 39 260
build.js:110 170 39 260
build.js:110 171 39 260
build.js:110 172 39 259
build.js:110 173 39 259
build.js:110 174 39 259
build.js:110 175 39 259
build.js:110 176 39 260
build.js:110 177 39 260
build.js:110 178 39 260
build.js:110 179 39 260
build.js:110 180 39 260
build.js:110 181 39 260
build.js:110 182 39 260
build.js:110 183 39 260
build.js:110 184 39 260
build.js:110 185 39 260
build.js:110 186 39 260
build.js:110 187 39 260
build.js:110 188 39 260
build.js:110 189 39 261
build.js:110 190 39 261
build.js:110 191 39 261
build.js:110 192 40 260
build.js:110 193 40 260
build.js:110 194 40 261
build.js:110 195 40 261
build.js:110 196 40 261
build.js:110 197 40 261
build.js:110 198 40 261
build.js:110 199 40 261
build.js:110 200 40 261
