​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ HGRY 0.15 550 0.35 0.95 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 1 0 0
​ [Violation] 'requestAnimationFrame' handler took 54ms
​ 2 44 208
​ 3 44 213
​ 4 44 216
​ 5 44 217
​ 6 45 216
​ 7 46 216
​ 8 46 218
​ 9 46 220
​ 10 46 221
​ 11 46 221
​ 12 46 221
​ 13 46 222
​ 14 46 224
​ 15 46 224
​ 16 46 225
​ 17 46 225
​ 18 46 225
​ 19 46 225
​ 20 46 227
​ 21 46 226
​ 22 46 226
​ 23 46 228
​ 24 46 229
​ 25 46 230
​ 26 46 230
​ 27 46 230
​ 28 45 229
​ 29 46 228
​ 30 46 230
​ 31 47 229
​ 32 47 228
​ 33 47 228
​ 34 47 228
​ 35 47 228
​ 36 47 231
​ 37 47 232
​ 38 47 233
​ 39 47 233
​ 40 48 234
​ 41 49 233
​ 42 49 234
​ 43 49 235
​ 44 50 234
​ 45 50 234
​ 46 50 235
​ 47 50 235
​ 48 50 237
​ 49 50 237
​ 50 50 237
​ 51 50 237
​ 52 51 235
​ 53 50 236
​ 54 50 237
​ 55 51 236
​ 56 51 236
​ 57 51 237
​ 58 51 237
​ 59 51 237
​ 60 51 237
​ 61 52 236
​ 62 52 236
​ 63 52 237
​ 64 52 237
​ 65 52 238
​ 66 52 238
​ 67 52 238
​ 68 52 238
​ 69 52 238
​ 70 52 238
​ 71 52 238
​ 72 52 238
​ 73 51 238
​ 74 52 237
​ 75 53 236
​ 76 53 236
​ 77 53 237
​ 78 53 238
​ 79 53 238
​ 80 53 238
​ 81 53 239
​ 82 53 239
​ 83 53 239
​ 84 53 240
​ 85 53 242
​ 86 52 243
​ 87 52 244
​ 88 52 244
​ 89 52 244
​ 90 52 245
​ 91 52 246
​ 92 52 246
​ 93 53 245
​ 94 53 245
​ 95 52 245
​ 96 52 245
​ 97 52 245
​ 98 51 246
​ 99 51 245
​ 100 51 245
​ 101 50 245
​ 102 50 245
​ 103 50 245
​ 104 50 244
​ 105 49 244
​ 106 49 244
​ 107 49 244
​ 108 49 244
​ 109 48 243
​ 110 48 243
​ 111 49 241
​ 112 49 239
​ 113 50 237
​ 114 50 239
​ 115 50 239
​ 116 50 239
​ 117 51 238
​ 118 51 238
​ 119 51 237
​ 120 51 237
​ 121 51 236
​ 122 51 236
​ 123 51 237
​ 124 51 236
​ 125 50 238
​ 126 50 239
​ 127 50 240
​ 128 50 239
​ 129 51 238
​ 130 51 239
​ 131 51 240
​ 132 51 240
​ 133 51 240
​ 134 52 240
​ 135 52 240
​ 136 53 237
​ 137 52 237
​ 138 52 236
​ 139 51 236
​ 140 51 237
​ 141 51 235
​ 142 50 237
​ 143 51 235
​ 144 51 235
​ 145 51 234
​ 146 50 235
​ 147 50 235
​ 148 50 236
​ 149 51 236
​ 150 51 236
​ 151 52 233
​ 152 51 234
​ 153 51 234
​ 154 51 233
​ 155 51 231
​ 156 51 231
​ 157 51 232
​ 158 51 232
​ 159 51 233
​ 160 52 232
​ 161 52 232
​ 162 52 231
​ 163 52 231
​ 164 52 232
​ 165 52 231
​ 166 51 232
​ 167 51 232
​ 168 51 235
​ 169 51 235
​ 170 52 234
​ 171 52 236
​ 172 52 236
